Num of Layer Detected :  87 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |input                                             |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0 |       1        3      704     1280 |         0 |
    1|TIDL_DataConvertLayer         |input_netFormat                                   |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        3      704     1280 |       1        3      704     1280 |   2703360 |
    2|TIDL_ConvolutionLayer         |onnx::Conv_374                                    |     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        3      704     1280 |       1       32      352      640 | 194641920 |
    3|TIDL_ConvolutionLayer         |onnx::Conv_379                                    |     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1       32      352      640 |       1       32      352      640 |  64880640 |
    4|TIDL_ConvolutionLayer         |input.20                                          |     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1       32      352      640 |       1       16      352      640 | 115343360 |
    5|TIDL_ConvolutionLayer         |onnx::Conv_386                                    |     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1       16      352      640 |       1       96      352      640 | 346030080 |
    6|TIDL_ConvolutionLayer         |onnx::Conv_391                                    |     0|     1|     1|  5   x   x   x   x   x   x   x |  6       |       1       96      352      640 |       1       96      176      320 |  48660480 |
    7|TIDL_ConvolutionLayer         |input.44                                          |     0|     1|     1|  6   x   x   x   x   x   x   x |  7       |       1       96      176      320 |       1       24      176      320 | 129761280 |
    8|TIDL_ConvolutionLayer         |onnx::Conv_398                                    |     0|     1|     1|  7   x   x   x   x   x   x   x |  8       |       1       24      176      320 |       1      144      176      320 | 194641920 |
    9|TIDL_ConvolutionLayer         |onnx::Conv_403                                    |     0|     1|     1|  8   x   x   x   x   x   x   x |  9       |       1      144      176      320 |       1      144      176      320 |  72990720 |
