Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 3, 1280, 704, 3, 1280, 704, 3, FRAME, 0, 0, 230686720, 230686720, 1, 1, 1,,,,,,,,, DDR, DMA, 3604480, 230686720, 2, 10814464, 0, 0, ,,,,,,,, DDR, CPU, 3604480, 3604480, 3, 10814464, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 3, 1280, 704, 3, 1280, 704, 3,  COL, 0, 0, 225280, 3604480, 48, 1, 48,,,,,,,,, L2, DMA, 450560, 450560, 1, 450560, 0, 0, MSMC, CPU, 904387, 112728, 1, 904387, 0, 0, DDR, DMA, 904387, 904387, 3, 2714240, 1282, a5047e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 3, 1280, 704, 32, 640, 352, 3, ROW_C, 1282, 1282, 64050, 903106, 15, 1, 15,,,,,,,,, L2, DMA, 131072, 131072, 3, 393216, 0, 0, ,,,,,,,, MSMC, CPU, 227008, 226915, 32, 7264384, 642, 7e, ,,,,,,,, L2, DMA, 28, 28, 32, 896, 0, 60000, ,,,,,,,, 
 3,     Conv, 32, 640, 352, 32, 640, 352, 1,  COL, 0, 0, 226915, 226915, 32, 1, 32,,,,,,,,, L2, DMA, 226914, 226914, 2, 453888, 0, 0, ,,,,,,,, MSMC, CPU, 227008, 226915, 32, 7264384, 642, 7e, ,,,,,,,, L2, DMA, 10, 10, 192, 1920, 0, 6ed00, MSMC, DMA_ONCE, 10, 10, 192, 1920, 0, 7b9780, 
 4,     Conv, 32, 640, 352, 16, 640, 352, 32, ROW_C, 0, 0, 4096, 225632, 56, 1, 56,,,,,,,,, L2, DMA, 8192, 8192, 32, 262144, 0, 0, ,,,,,,,, MSMC, CPU, 227008, 226915, 16, 3632256, 642, 3773e, ,,,,,,,, L2, DMA, 33, 33, 16, 640, 0, 40000, ,,,,,,,, 
 5,     Conv, 16, 640, 352, 96, 640, 352, 16, ROW_L, 0, 0, 2688, 225632, 84, 1, 84,,,,,,,,, L2, DMA, 5440, 5440, 16, 307456, 0, 0, MSMC, CPU, 2688, 2688, 96, 516096, 0, 3ae340, DDR, DMA, 231168, 226915, 96, 22193152, 642, 7e, ,,,,,,,, L2, DMA, 17, 17, 96, 1664, 0, 4b100, ,,,,,,,, 
 6,     Conv, 96, 640, 352, 96, 320, 176, 1,  COL, 0, 0, 226915, 226915, 96, 1, 96,,,,,,,,, L2, DMA, 226914, 226914, 2, 453888, 0, 0, ,,,,,,,, MSMC, CPU, 57152, 57139, 96, 5486720, 322, 2d3e, ,,,,,,,, MSMC, DMA, 10, 10, 1152, 11520, 0, 0, ,,,,,,,, 
 7,     Conv, 96, 320, 176, 24, 320, 176, 96, ROW_L, 0, 0, 1984, 56496, 29, 1, 29,,,,,,,,, L2, DMA, 4032, 4032, 96, 440576, 0, 0, ,,,,,,,, MSMC, CPU, 57152, 57139, 24, 1371776, 322, 2d3e, ,,,,,,,, L2, DMA, 192, 97, 24, 4608, 0, 6b900, ,,,,,,,, 
 8,     Conv, 24, 320, 176, 144, 320, 176, 24, ROW_L, 0, 0, 1792, 56496, 32, 1, 32,,,,,,,,, L2, DMA, 3648, 3648, 24, 141312, 0, 0, MSMC, CPU, 1792, 1792, 144, 516096, 0, 151b80, DDR, DMA, 59136, 57139, 144, 8516608, 322, 3e, ,,,,,,,, L2, DMA, 25, 25, 144, 3712, 0, 22800, ,,,,,,,, 
 9,     Conv, 144, 320, 176, 144, 320, 176, 1,  COL, 0, 0, 57139, 57139, 48, 1, 48,,,,,,,,, L2, DMA, 57138, 57138, 6, 342912, 0, 0, MSMC, CPU, 57139, 57139, 144, 342834, 0, 151b80, DDR, DMA, 57139, 57139, 144, 8229120, 322, 81f43e, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 53b80, ,,,,,,,, 
