Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 1, 100, 32, 1, 100, 32, 1, FRAME, 0, 0, 819200, 819200, 1, 1, 1,,,,,,,,, MSMC, DMA, 819200, 819200, 1, 819200, 0, 0, ,,,,,,,, DDR, CPU, 12800, 12800, 1, 13824, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 1, 100, 32, 1, 100, 32, 1,  COL, 0, 0, 12800, 12800, 1, 1, 1,,,,,,,,, L2, DMA, 12900, 12900, 1, 12928, 0, 0, L2, CPU, 0, 3232, 1, 0, 0, 0, MSMC, CPU, 3520, 3435, 1, 3712, 102, 1a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 1, 100, 32, 64, 100, 32, 1, ROW_L, 204, 256, 3179, 3435, 1, 1, 1,,,,,,,,, L2, DMA, 3520, 3520, 1, 3584, 0, 0, ,,,,,,,, MSMC, CPU, 3520, 3435, 64, 225408, 102, 1a, ,,,,,,,, L2, DMA_ONCE, 10, 10, 64, 640, 0, 5e000, ,,,,,,,, 
 3,     Pool, 64, 100, 32, 64, 50, 16, 64,  COL, 0, 0, 3232, 3232, 1, 1, 1,,,,,,,,, L2, DMA, 3535, 3535, 64, 226304, 0, 0, ,,,,,,,, MSMC, CPU, 960, 919, 64, 61568, 52, 4c, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 4,     Conv, 64, 50, 16, 128, 50, 16, 64, ROW_L, 104, 128, 791, 919, 1, 1, 1,,,,,,,,, L2, DMA, 960, 960, 64, 61440, 0, 0, ,,,,,,,, MSMC, CPU, 960, 919, 128, 123008, 52, 4c, ,,,,,,,, L2, DMA, 704, 577, 128, 90112, 0, f000, MSMC, DMA_ONCE, 704, 577, 128, 90112, 0, 1a8000, 
 5,     Pool, 128, 50, 16, 128, 25, 8, 128,  COL, 0, 0, 816, 816, 1, 1, 1,,,,,,,,, L2, DMA, 969, 969, 128, 124032, 0, 0, ,,,,,,,, MSMC, CPU, 320, 261, 128, 41088, 27, a80e5, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 6,     Conv, 128, 25, 8, 256, 25, 8, 128, ROW_L, 54, 64, 197, 261, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 128, 40960, 0, 0, ,,,,,,,, MSMC, CPU, 320, 261, 256, 82048, 27, 65, ,,,,,,,, L2, DMA, 1216, 1153, 256, 311296, 0, a000, MSMC, DMA_ONCE, 1216, 1153, 256, 311296, 0, 15c000, 
 7,     Conv, 256, 25, 8, 256, 25, 8, 256, ROW_L, 54, 64, 197, 261, 1, 4, 4,,,,,,,,, L2, DMA, 320, 320, 256, 81920, 0, 0, ,,,,,,,, MSMC, CPU, 320, 261, 256, 82048, 27, a80e5, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, 14000, MSMC, DMA_ONCE, 2368, 2305, 256, 606208, 0, c8000, 
 8, DataConvert, 256, 25, 8, 256, 25, 8, 256,  COL, 0, 0, 208, 208, 1, 1, 1,,,,,,,,, L2, DMA, 338, 338, 256, 86528, 0, 0, MSMC, CPU, 800, 800, 256, 204800, 0, 0, DDR, DMA, 800, 800, 256, 205824, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 9,     Data, 256, 25, 8, 0, 0, 0, 256, FRAME, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 0, 200, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 12800, 0, 0, 13824, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
