Num of Layer Detected : 119 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |images                                            |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0 |       1        3      448      448 |         0 |
    1|TIDL_DataConvertLayer         |images_netFormat                                  |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        3      448      448 |       1        3      448      448 |    602112 |
    2|TIDL_ConvolutionLayer         |168                                               |     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        3      448      448 |       1       12      224      224 |  16257024 |
    3|TIDL_ConvolutionLayer         |170                                               |     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1       12      224      224 |       1       32      224      224 | 173408256 |
    4|TIDL_ConvolutionLayer         |172                                               |     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1       32      224      224 |       1       64      112      112 | 231211008 |
    5|TIDL_ConvolutionLayer         |181                                               |     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1       64      112      112 |       1       32      112      112 |  25690112 |
    6|TIDL_ConvolutionLayer         |174                                               |     0|     1|     1|  4   x   x   x   x   x   x   x |  6       |       1       64      112      112 |       1       32      112      112 |  25690112 |
    7|TIDL_ConvolutionLayer         |176                                               |     0|     1|     1|  6   x   x   x   x   x   x   x |  7       |       1       32      112      112 |       1       32      112      112 |  12845056 |
    8|TIDL_ConvolutionLayer         |178                                               |     0|     1|     1|  7   x   x   x   x   x   x   x |  8       |       1       32      112      112 |       1       32      112      112 | 115605504 |
    9|TIDL_EltWiseLayer             |179                                               |     0|     2|     1|  6   8   x   x   x   x   x   x |  9       |       1       32      112      112 |       1       32      112      112 |    401408 |
   10|TIDL_ConcatLayer              |182                                               |     0|     2|     1|  9   5   x   x   x   x   x   x | 10       |       1       32      112      112 |       1       64      112      112 |    802816 |
   11|TIDL_ConvolutionLayer         |184                                               |     0|     1|     1| 10   x   x   x   x   x   x   x | 11       |       1       64      112      112 |       1       64      112      112 |  51380224 |
