Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 3, 448, 448, 3, 448, 448, 3, FRAME, 0, 0, 51380224, 51380224, 1, 1, 1,,,,,,,,, DDR, DMA, 802816, 51380224, 2, 2409472, 0, 0, ,,,,,,,, DDR, CPU, 802816, 802816, 3, 2409472, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 3, 448, 448, 3, 448, 448, 3,  COL, 0, 0, 200704, 802816, 12, 1, 12,,,,,,,,, L2, DMA, 401408, 401408, 1, 401408, 0, 0, ,,,,,,,, MSMC, CPU, 202051, 202051, 3, 606336, 450, 3e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 3, 448, 448, 12, 224, 224, 3, ROW_C, 450, 450, 64656, 201602, 4, 1, 4,,,,,,,,, L2, DMA, 131072, 131072, 3, 393216, 0, 0, ,,,,,,,, MSMC, CPU, 50880, 50851, 12, 610688, 226, 9511e, ,,,,,,,, L2, DMA_ONCE, 28, 28, 12, 384, 0, 6f600, ,,,,,,,, 
 3,     Conv, 12, 224, 224, 32, 224, 224, 12, ROW_L, 452, 512, 17728, 50851, 3, 1, 3,,,,,,,,, L2, DMA, 36032, 36032, 12, 450048, 0, 0, ,,,,,,,, MSMC, CPU, 50880, 50851, 32, 1628288, 226, 1e, ,,,,,,,, L2, DMA, 192, 109, 32, 6144, 0, 6de00, ,,,,,,,, 
 4,     Conv, 32, 224, 224, 64, 112, 112, 32, ROW_L, 226, 226, 5850, 50626, 9, 1, 9,,,,,,,,, L2, DMA, 11968, 11968, 32, 423936, 0, 0, ,,,,,,,, MSMC, CPU, 12992, 12883, 64, 831616, 114, 18d88e, ,,,,,,,, L2, DMA, 320, 289, 64, 20480, 0, 67800, ,,,,,,,, 
 5,     Conv, 64, 112, 112, 32, 112, 112, 64, ROW_L, 0, 0, 3392, 12656, 4, 1, 4,,,,,,,,, L2, DMA, 6848, 6848, 64, 445056, 0, 0, ,,,,,,,, MSMC, CPU, 12992, 12883, 32, 415872, 114, e, ,,,,,,,, L2, DMA, 192, 65, 32, 6144, 0, 6ca80, ,,,,,,,, 
 6,     Conv, 64, 112, 112, 32, 112, 112, 64, ROW_L, 0, 0, 3392, 12656, 4, 1, 4,,,,,,,,, L2, DMA, 6848, 6848, 64, 445056, 0, 0, ,,,,,,,, MSMC, CPU, 12992, 12883, 32, 415872, 114, 6588e, ,,,,,,,, L2, DMA, 192, 65, 32, 6144, 0, 6ca80, MSMC, DMA_ONCE, 192, 65, 32, 6144, 0, 7b8200, 
 7,     Conv, 32, 112, 112, 32, 112, 112, 32, ROW_L, 0, 0, 7040, 12656, 2, 1, 2,,,,,,,,, L2, DMA, 14144, 14144, 32, 452608, 0, 0, ,,,,,,,, MSMC, CPU, 12992, 12883, 32, 415872, 114, cb10e, ,,,,,,,, L2, DMA, 33, 33, 32, 1152, 0, 6e800, MSMC, DMA_ONCE, 33, 33, 32, 1152, 0, 7b9a00, 
 8,     Conv, 32, 112, 112, 32, 112, 112, 32, ROW_L, 228, 256, 6784, 12883, 2, 1, 2,,,,,,,,, L2, DMA, 13888, 13888, 32, 444416, 0, 0, ,,,,,,,, MSMC, CPU, 12992, 12883, 32, 415872, 114, cb10e, ,,,,,,,, L2, DMA, 320, 289, 32, 10240, 0, 6c800, ,,,,,,,, 
 9,  EltWise, 64, 112, 112, 32, 112, 112, 64,  COL, 0, 0, 12656, 12656, 4, 1, 4,,,,,,,,, L2, DMA, 12995, 12995, 16, 415872, 0, 0, ,,,,,,,, MSMC, CPU, 12992, 12883, 32, 415872, 114, 6588e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
