Num of Layer Detected : 119 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |images                                            |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0 |       1        3      640      640 |         0 |
    1|TIDL_DataConvertLayer         |images_netFormat                                  |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        3      640      640 |       1        3      640      640 |   1228800 |
    2|TIDL_ConvolutionLayer         |168                                               |     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1        3      640      640 |       1       12      320      320 |  33177600 |
    3|TIDL_ConvolutionLayer         |170                                               |     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1       12      320      320 |       1       32      320      320 | 353894400 |
    4|TIDL_ConvolutionLayer         |172                                               |     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1       32      320      320 |       1       64      160      160 | 471859200 |
    5|TIDL_ConvolutionLayer         |181                                               |     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1       64      160      160 |       1       32      160      160 |  52428800 |
    6|TIDL_ConvolutionLayer         |174                                               |     0|     1|     1|  4   x   x   x   x   x   x   x |  6       |       1       64      160      160 |       1       32      160      160 |  52428800 |
    7|TIDL_ConvolutionLayer         |176                                               |     0|     1|     1|  6   x   x   x   x   x   x   x |  7       |       1       32      160      160 |       1       32      160      160 |  26214400 |
    8|TIDL_ConvolutionLayer         |178                                               |     0|     1|     1|  7   x   x   x   x   x   x   x |  8       |       1       32      160      160 |       1       32      160      160 | 235929600 |
    9|TIDL_EltWiseLayer             |179                                               |     0|     2|     1|  6   8   x   x   x   x   x   x |  9       |       1       32      160      160 |       1       32      160      160 |    819200 |
   10|TIDL_ConcatLayer              |182                                               |     0|     2|     1|  9   5   x   x   x   x   x   x | 10       |       1       32      160      160 |       1       64      160      160 |   1638400 |
   11|TIDL_ConvolutionLayer         |184                                               |     0|     1|     1| 10   x   x   x   x   x   x   x | 11       |       1       64      160      160 |       1       64      160      160 | 104857600 |
   12|TIDL_ConvolutionLayer         |186                                               |     0|     1|     1| 11   x   x   x   x   x   x   x | 12       |       1       64      160      160 |       1      128       80       80 | 471859200 |
   13|TIDL_ConvolutionLayer         |205                                               |     0|     1|     1| 12   x   x   x   x   x   x   x | 13       |       1      128       80       80 |       1       64       80       80 |  52428800 |
   14|TIDL_ConvolutionLayer         |188                                               |     0|     1|     1| 12   x   x   x   x   x   x   x | 14       |       1      128       80       80 |       1       64       80       80 |  52428800 |
   15|TIDL_ConvolutionLayer         |190                                               |     0|     1|     1| 14   x   x   x   x   x   x   x | 15       |       1       64       80       80 |       1       64       80       80 |  26214400 |
   16|TIDL_ConvolutionLayer         |192                                               |     0|     1|     1| 15   x   x   x   x   x   x   x | 16       |       1       64       80       80 |       1       64       80       80 | 235929600 |
   17|TIDL_EltWiseLayer             |193                                               |     0|     2|     1| 14  16   x   x   x   x   x   x | 17       |       1       64       80       80 |       1       64       80       80 |    409600 |
   18|TIDL_ConvolutionLayer         |195                                               |     0|     1|     1| 17   x   x   x   x   x   x   x | 18       |       1       64       80       80 |       1       64       80       80 |  26214400 |
   19|TIDL_ConvolutionLayer         |197                                               |     0|     1|     1| 18   x   x   x   x   x   x   x | 19       |       1       64       80       80 |       1       64       80       80 | 235929600 |
   20|TIDL_EltWiseLayer             |198                                               |     0|     2|     1| 17  19   x   x   x   x   x   x | 20       |       1       64       80       80 |       1       64       80       80 |    409600 |
   21|TIDL_ConvolutionLayer         |200                                               |     0|     1|     1| 20   x   x   x   x   x   x   x | 21       |       1       64       80       80 |       1       64       80       80 |  26214400 |
   22|TIDL_ConvolutionLayer         |202                                               |     0|     1|     1| 21   x   x   x   x   x   x   x | 22       |       1       64       80       80 |       1       64       80       80 | 235929600 |
   23|TIDL_EltWiseLayer             |203                                               |     0|     2|     1| 20  22   x   x   x   x   x   x | 23       |       1       64       80       80 |       1       64       80       80 |    409600 |
   24|TIDL_ConcatLayer              |206                                               |     0|     2|     1| 23  13   x   x   x   x   x   x | 24       |       1       64       80       80 |       1      128       80       80 |    819200 |
   25|TIDL_ConvolutionLayer         |208                                               |     0|     1|     1| 24   x   x   x   x   x   x   x | 25       |       1      128       80       80 |       1      128       80       80 | 104857600 |
   26|TIDL_ConvolutionLayer         |210                                               |     0|     1|     1| 25   x   x   x   x   x   x   x | 26       |       1      128       80       80 |       1      256       40       40 | 471859200 |
   27|TIDL_ConvolutionLayer         |229                                               |     0|     1|     1| 26   x   x   x   x   x   x   x | 27       |       1      256       40       40 |       1      128       40       40 |  52428800 |
   28|TIDL_ConvolutionLayer         |212                                               |     0|     1|     1| 26   x   x   x   x   x   x   x | 28       |       1      256       40       40 |       1      128       40       40 |  52428800 |
