img_name,actual,predicted,predicted_accuracy,postprocess,postprocess_accuracy
test/2551_2.png,LOUISE,GOUIS,0.67,,
test/5049_3.png,TENENBAUMS,TENENBAUMS,1.0,,
test/826_3.png,THAN,THAN,1.0,,
test/2588_2.png,HALL,4AL,0.5,,
test/138_11.png,Eagle,EAGLE,1.0,,
test/245_1.png,TC,OAOC,0.25,,
test/683_1.png,POLICE,POLICE,1.0,,
test/2034_6.png,brighter,IRLDNTE,0.38,,
test/971_4.png,Noticias,NOTICIAS,1.0,,
test/5017_1.png,IM,TM,0.5,,
test/977_29.png,DEUR,AELR,0.5,,
test/917_3.png,LONGER,LOONGGERT,0.67,,
test/5130_4.png,08,OE,0.0,,
test/1021_4.png,HOME,VOME,0.75,,
test/712_7.png,MESSAGE,MESSAGE,1.0,,
test/741_4.png,Google,COOGLE,0.83,,
test/2004_4.png,PHOENIX,PHCENX,0.71,,
test/2613_1.png,Thakaar,TKAEEAR,0.57,,
test/685_6.png,New,NEW,1.0,,
test/5024_6.png,Orleans,OREANS,0.86,,
test/5181_1.png,ANGELINA,AMGEOTH,0.38,,
test/804_2.png,writable,WERTABLE,0.75,,
test/1026_8.png,1212,12712,0.8,,
test/72_1.png,JOES,OES,0.75,,
test/2600_3.png,HOGG,HOOG,0.75,,
test/2009_2.png,COTTAGE,AOTTAG,0.71,,
test/916_2.png,Bank,BANK,1.0,,
test/209_3.png,of,OF,1.0,,
test/2617_1.png,Alexander,SA,0.11,,
test/216_9.png,Melayu,MELAYU,1.0,,
test/234_3.png,of,OF,1.0,,
test/2021_4.png,Lago,TSS,0.0,,
test/696_2.png,you,O,0.33,,
test/858_7.png,FUEL,FUEL,1.0,,
test/2156_3.png,alibaba,ALMIBABA,0.88,,
test/216_2.png,P,P,1.0,,
test/122_9.png,as,AS,1.0,,
test/291_1.png,PLEASE,PLEASE,1.0,,
test/1096_3.png,cola,COLA,1.0,,
test/5189_3.png,HENREID,HERREO,0.57,,
test/756_4.png,Ads,AAS,0.67,,
test/2294_1.png,2571,257,0.75,,
test/529_25.png,OUR,OUR,1.0,,
test/626_1.png,novo,NOWO,0.75,,
test/817_1.png,Can,GAN,0.67,,
test/2374_1.png,MELIN,MELIN,1.0,,
test/5052_1.png,IRON,GBIOA,0.2,,
test/895_3.png,First,FIRST,1.0,,
